"Age"	"lx"
0	10000
1	9998.09557594466
2	9996.01089408853
3	9993.72893583518
4	9991.23108439988
5	9988.49697643285
6	9985.50434020752
7	9982.2288192258
8	9978.64378000812
9	9974.72010274892
10	9970.42595342862
11	9965.7265358815
12	9960.58382222736
13	9954.95625998399
14	9948.79845408962
15	9942.06082198245
16	9934.68921981045
17	9926.62453778364
18	9917.80226263699
19	9908.15200515145
20	9897.59699069015
21	9886.05351075567
22	9873.43033367256
23	9859.62807266033
24	9844.53850980026
25	9828.04387473375
26	9810.01607738117
27	9790.31589456397
28	9768.79211117911
29	9745.28061754838
30	9719.6034657854
31	9691.56788953864
32	9660.9652933301
33	9627.57021997961
34	9591.13930735024
35	9551.41024894709
36	9508.10077683295
37	9460.90768997888
38	9409.50595663875
39	9353.54792572133
40	9292.6626895234
41	9226.45564866898
42	9154.5083397403
43	9076.37859692581
44	8991.60113104532
45	8899.68862247301
46	8800.13343860871
47	8692.41010136432
48	8575.97864519368
49	8450.28902084651
50	8314.78671335121
51	8168.91975347703
52	8012.14730844577
53	7843.95003783899
54	7663.84239182778
55	7471.38700780621
56	7266.21132440467
57	7048.02647430336
58	6816.64843442642
59	6572.02129893976
60	6314.24239217283
61	6043.58875113526
62	5760.54427841502
63	5465.82659654521
64	5160.41232946365
65	4845.55920676223
66	4522.82305160019
67	4194.06740326465
68	3861.46328208971
69	3527.47648197744
70	3194.83983969672
71	2866.50825369625
72	2545.59488173956
73	2235.28799770619
74	1938.74946588531
75	1658.99767815218
76	1398.78000397481
77	1160.44213908569
78	945.803913913188
79	756.052747365554
80	591.666553189762
81	452.377082725612
82	337.18209470639
83	244.410302786994
84	171.837059180629
85	116.841926351818
86	76.5928186021682
87	48.236648837041
88	29.074694854156
89	16.7030115294883
90	9.10410221732521
91	4.6846334395631
92	2.26327912974949
93	1.02053396815939
94	0.426677834657091
95	0.164226270940503
96	0.0577359621021205
97	0.0183814310309503
98	0.00524995053171283
99	0.00133137461515978
100	0
101	0
102	0
103	0
